Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,atomic_mass_weighted,atomic_radius_weighted,melting_point_weighted,PC1,PC2,PC3
AB,ThCo,1.4,46.8,40.0,0.05,124.5421513330249,0.0202404562945991,-3.900071890617428,2.049324254845616,196.97747381084645,1.7088571902059537,2044.7187666699242,-0.2182340638047907,-0.35526483560084937,0.35123339825377037
AB,ThNi,1.2,45.3,40.0,0.01,106.37099190480488,0.0041671432123623,-5.480524558914876,1.7515631627144783,197.0429223315688,1.7091531752360067,2036.8717307029656,0.2831199724531204,-0.6427968024811331,-0.7885326844217233
AB,Ti0.46Mn0.05V0.05Fe0.45,1.7,28.6,22.0,2.0,102.66281728580611,2.24884865942675,0.810418378328218,0.8908435019266714,52.20968407253645,1.397571579900899,1868.3548487497549,-2.2996315300474532,0.3652196615686158,-0.7576945575408224
AB,Zr0.04Ti0.96Nb0.04Fe0.95,1.7,31.8,30.0,1.4,107.696048741153,1.1330198344371585,0.1248864880154619,0.9170692230144246,54.906941906160995,1.4068924959505513,1910.8407171028248,-2.348650596499954,0.37209864974625867,-0.7756321961758444
AB,Ti0.9Fe0.9B0.2,1.5,7.6,27.0,14.0,47.26221524537158,13.716892394336089,2.618628094771769,0.7214089315929417,51.226640909709644,1.3875479304315048,1881.8218862234694,-1.9598575427440041,0.006479849068867459,-1.7895915906874713
AB,La0.1Ti0.9Co1,1.5,60.0,150.0,3.2,151.46431095449014,0.0025112451596866,-5.98697656928881,0.8755139744984288,64.40430397241983,1.4404916085670247,1763.391251109258,-1.0715085042212091,0.014853385597475847,-0.2560161066558982
AB,Zr0.1Ti0.9Fe1,1.0,28.9,30.0,3.3,105.25880496078123,2.722722436607205,1.001632275557145,0.5413645382395382,55.65107413392418,1.412664406553772,1889.5971362648165,-2.376340978372348,0.374277280583655,-0.81599243264116
AB,TiCo,1.3,57.8,150.0,2.2,143.14994806628025,0.00224399239246,-6.099498681496754,0.6977626480556762,53.973414204983655,1.372409603278346,1845.5372273430773,-1.4564689844385188,0.18789795569520348,-0.015754745015208235
AB,Ti1Fe0.5Co0.5,1.1,42.3,100.0,4.0,124.88511065111987,0.1295775132300278,-2.0434760191459582,0.580701743233104,53.08141353002387,1.386002427317809,1858.08179787399,-1.907960433360881,0.28161083796081493,-0.4027851253003063
AB,Ti1Mn0.5Co0.5,1.6,46.9,120.0,3.2,128.9635115278683,0.0330866273106653,-3.4086260869738685,0.8452914892244161,52.83174046283408,1.385941860279829,1781.7516065676602,-1.9251281225968546,0.29392701729093834,-0.4909290783572091
